device:      samsung SM-A715F
soc:         QTI SM7150
android:     13 (API 33)
abi:         arm64-v8a, armeabi-v7a, armeabi
max heap:    512 MB
cores:       8
policy:      burnInMs=15000 minBlockMs=5000 discardBlocks=1 passes=3

harness: MsmComparison 10 1024 128,256,512,1024

Bucket method against naive evaluation, one scalar multiplication per coordinate. reps=10, M=N, B=1024, S=2, passes=3.
  pass 1 of 3 (0.0 min elapsed)
  pass 2 of 3 (85.2 min elapsed)
  pass 3 of 3 (172.5 min elapsed)
  done in 250.3 min

     R      N    gen buck  gen naive   ratio    vrf buck  vrf naive   ratio
   128      1        82.0      280.5   3.42x        53.9      146.4   2.71x
   128      4        94.6      332.7   3.52x        60.1      170.7   2.84x
   128     16       130.3      543.5   4.17x        86.2      277.0   3.21x
   128     64       249.3     1358.8   5.45x       165.5      699.2   4.22x
   128    256       622.2     4610.8   7.41x       419.3     2378.6   5.67x
   128   1024      1879.4    17587.4   9.36x      1296.3     9084.0   7.01x
   256      1       115.3      531.9   4.61x        75.5      273.0   3.62x
   256      4       127.5      583.6   4.58x        82.7      300.9   3.64x
   256     16       168.7      786.4   4.66x       112.2      407.7   3.63x
   256     64       288.2     1611.7   5.59x       190.4      833.6   4.38x
   256    256       680.9     4905.4   7.20x       451.1     2525.5   5.60x
   256   1024      2077.6    18231.2   8.77x      1415.4     9309.6   6.58x
   512      1       175.3     1037.8   5.92x       112.0      524.5   4.68x
   512      4       186.3     1082.1   5.81x       122.0      550.5   4.51x
   512     16       229.4     1293.3   5.64x       148.4      662.2   4.46x
   512     64       364.6     2133.9   5.85x       235.5     1088.0   4.62x
   512    256       796.2     5475.3   6.88x       526.9     2821.5   5.36x
   512   1024      2586.6    19728.8   7.63x      1710.8    10307.9   6.03x
  1024      1       375.0     2679.9   7.15x       238.6     1349.3   5.66x
  1024      4       392.7     2081.1   5.30x       248.9     1051.8   4.23x
  1024     16       345.0     2285.1   6.62x       220.7     1160.2   5.26x
  1024     64       495.8     3144.5   6.34x       320.1     1603.1   5.01x
  1024    256      1053.9     6592.6   6.26x       676.9     3400.1   5.02x
  1024   1024      3858.5    21102.5   5.47x      2380.0    10879.6   4.57x

naive/bucket over the whole grid: generation 3.4--9.4 times slower, verification 2.7--7.0 times slower
